gene_id,gene_name,J_902,J_912,J_896,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000042446.17,Zmym4,826,685.001,532,1483.001,1223,1391,927.2326750428045,-0.3850307763323996,0.14610119262623394,0.0010167169473820747,0.01947747409821892,Down
ENSMUSG00000066839.13,Ecsit,905,1384,946.999,1001.001,864,738,1041.4860394952786,0.5324231936882486,0.2481624253504227,0.0010212873582851618,0.019537357172286864,Up
ENSMUSG00000037410.14,Tbc1d2b,1158,1018,1020,2281,1827,2578,1681.5195642110411,-0.4147448335951172,0.16412665498791262,0.0010289772601982832,0.019601292174903917,Down
ENSMUSG00000079677.3,Fdx2,509.94,881.346,827.264,651.162,649.401,473.63,792.49818250167,0.5380728203821415,0.25340915831906113,0.0010282292754316986,0.019601292174903917,Up
ENSMUSG00000091803.8,Cox16,1569.921,1956.848,2321.492,1567.221,1711.92,1682.404,2027.4968185929283,0.5050169345614514,0.22630839161222893,0.0010282828926061643,0.019601292174903917,Up
ENSMUSG00000021338.18,Carmil1,175.001,90,83.999,318.001,348,256,201.24477018716638,-0.5529659156499979,0.26797405022607623,0.0010431768672813388,0.019843835625851066,Down
ENSMUSG00000033983.15,Coil,171,160,132,354,295,279,231.21087944864522,-0.3788258631575048,0.1432643542819032,0.0010550354580591685,0.020041228329003166,Down
ENSMUSG00000027357.17,Crls1,1886,1025,1145,1158,1256,1161,1319.3446925642977,0.4724595605587414,0.2032402139000606,0.0010565213624664671,0.020041306349732075,Up
ENSMUSG00000014243.6,Zswim7,393,560,619,414,458,405,503.29804766029673,0.5271129846003763,0.2455321133247599,0.00106024266312342,0.020083728317568984,Up
ENSMUSG00000027474.14,Ccm2l,106,97,168,112,82,93,115.2626285317236,0.5527644726501245,0.2689375328384254,0.0010624191583829534,0.020096809954027198,Up
ENSMUSG00000027340.16,Slc23a2,1034,955,730,2045,1843,1695.999,1359.7251723253826,-0.40058905922374094,0.15626123372329084,0.0010660803120950116,0.02013789975011876,Down
ENSMUSG00000038371.16,Sbf2,1304.999,998,860,2797.001,1867.999,2078.999,1478.0740429300686,-0.4241225557806739,0.1711227308203029,0.0010754697603147642,0.020286929579159254,Down
ENSMUSG00000021622.4,Ckmt2,17606,25948,10929,12333,11755,6903,14055.837512391425,0.6047710941341596,0.36040476955032225,0.0010800647478761806,0.020340568925416056,Up
ENSMUSG00000056899.11,Immp2l,320.999,160,132,173.999,134,114,163.27128196380747,0.5815557295430577,0.30314898962593434,0.0010813211872365356,0.020340568925416056,Up
ENSMUSG00000032348.7,Gsta4,803,352,258,389,273,260,379.54482371369863,0.5916106633134031,0.3195855926519019,0.001088059858976992,0.020438902212033077,Up
ENSMUSG00000024194.17,Cuta,888.999,1103,1250,852,985,901.999,1176.873409522535,0.5036784022346101,0.22825145077778328,0.0011038284507834375,0.02070635200672121,Up
ENSMUSG00000045636.17,Mtus1,3408,2986,2353,3294,2353.001,2616.999,2720.58629026402,0.4317924015550756,0.17683062218929088,0.0011059948705352987,0.02071825571189739,Up
ENSMUSG00000031934.15,Panx1,824,819,882,897.999,944,836,893.5635272529601,0.3446390739028065,0.12549398728872138,0.0011102193878657321,0.020768626861527008,Up
ENSMUSG00000033174.18,Mgll,6272,2079,2010.001,2201,1940,2338,2915.8809033692664,0.5944320511954113,0.32927887067392697,0.0011156068528857521,0.020832391749653862,Up
ENSMUSG00000039615.10,Stub1,1836.999,2481.001,2536,2027.001,2254.001,1889,2474.2807669112017,0.466711999052288,0.20110495394124842,0.0011196528474762641,0.020832391749653862,Up
ENSMUSG00000058076.13,Sdhc,6625,8723.001,5846,6989.999,7065,5473,7341.184146866081,0.44764511995509265,0.1877964698556237,0.001119789190535923,0.020832391749653862,Up
ENSMUSG00000061288.14,Taok3,1223,758,771,2385,2092.001,1858.001,1439.9823983968283,-0.4768444868707,0.2084095324093214,0.0011188892605784966,0.020832391749653862,Down
ENSMUSG00000051331.17,Cacna1c,160,124,151,328,299,397,236.13350114310026,-0.4902255689557525,0.2184974073021122,0.0011218749408899663,0.020842525515847247,Down
ENSMUSG00000053626.6,Tll1,41,37,49,161,87,114,68.38542469816853,-0.566549491940915,0.28790308313974416,0.0011268468846682186,0.020906178484413795,Down
ENSMUSG00000044229.10,Nxpe4,31,24,43,99,100,92,61.22255992871007,-0.579602639163693,0.30504034417460124,0.0011302062508473552,0.020939780195493807,Down
ENSMUSG00000024646.15,Cyb5a,2941.999,2190,2168,2340,2285,2405,2820.8908755375783,0.4130314635763936,0.16556849389021278,0.0011426385553540547,0.021112276586289058,Up
ENSMUSG00000025938.17,Slco5a1,958,1130,950,1215,1001,765,908.4567359308774,0.41005342078034845,0.16368066741164322,0.0011422292911480417,0.021112276586289058,Up
ENSMUSG00000039585.16,Myo9a,981,862,695.001,2049.001,1632,1668,1190.2703145782568,-0.4164049963843503,0.16798692423953487,0.0011551944056262245,0.021315149162475698,Down
ENSMUSG00000022883.12,Robo1,310,234,225,591,578,765,424.56435390492715,-0.5270586407014346,0.25009076428595256,0.0011590100899657283,0.021356418892079666,Down
ENSMUSG00000020380.17,Rad50,434,335,237,925,685,799,525.6175741002024,-0.49977455078136385,0.22771066757602368,0.001171310304894718,0.021553703229525253,Down
